,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
62,-796.5183849496583,-287.476399406641,-11344.528073497599,-11395.6013570331,23.8049239828,-181.151589140037,-287.476399406641,-11383.3817387566,-11395.6013570331,23.8049239828
63,-4014.754671010393,-3905.2623124416036,-10672.979482990662,-11041.3877652481,4585.3149952221,-3918.1511760487692,-3905.2623124416036,-11110.5646047956,-11041.3877652481,4585.3149952221
64,922.6312781885049,867.977919946225,-13149.330475600656,-13256.2538232696,-11209.5054610023,922.855753288681,867.977919946225,-13259.0407167765,-13256.2538232696,-11209.5054610023
65,-3944.1089598374742,-3858.3727338716008,-13255.92159701285,-13137.2393891332,9951.6745252864,-3843.321625931841,-3858.3727338716008,-13254.2357996698,-13137.2393891332,9951.6745252864
66,-796.5183849496583,-286.77891596430396,-8047.336544931688,-8388.7610724324,-7352.3981240079,-248.390680972225,-286.77891596430396,-8507.1382417542,-8388.7610724324,-7352.3981240079
67,2337.1218241895017,2032.2957495420808,-13182.509616305266,-13257.5562714974,4402.7397186847,2128.2175670660286,2032.2957495420808,-13273.1364923918,-13257.5562714974,4402.7397186847
68,6775.893446149292,6145.024083161616,-11075.00924336935,-11025.7114914785,7712.6118224615,6664.697733760001,6145.024083161616,-11040.3525609787,-11025.7114914785,7712.6118224615
69,-3887.7897504717826,-3896.5296795517215,6713.397474722463,6664.3468599734,-11356.0800433081,-3843.3015397306885,-3896.5296795517215,7028.3997791447,6664.3468599734,-11356.0800433081
70,-7245.613657340139,-7212.18106104272,-7002.117013829668,-7179.5557152431,2732.6945485828,-7197.514410243556,-7212.18106104272,-6834.2249015356,-7179.5557152431,2732.6945485828
71,3076.7011573509863,3557.0226390084,6713.397474722463,6665.2401450101,3619.0481301756,2732.6945485827614,3557.0226390084,7028.3997791447,6665.2401450101,3619.0481301756
72,2337.1218241895017,2833.5244563396,-8939.63177462277,-8923.7614860296,-7167.9446376012,2931.985129536788,2833.5244563396,-8917.495734195,-8923.7614860296,-7167.9446376012
73,-3325.0768589591075,-3412.4162044920995,-11328.476356328025,-11383.183717536,-4045.0392459881,-3432.062442613249,-3412.4162044920995,-11395.4499857777,-11383.183717536,-4045.0392459881
74,-3886.7089258698998,-3896.5707534603234,-9015.496975220733,-8919.7898358403,9896.6287302036,-3843.3553510296015,-3896.5707534603234,-8918.8014056328,-8919.7898358403,9896.6287302036
75,7578.111048555946,7909.740520105284,2543.2529780421,2713.9634171698,-4576.7908038323,7712.611822461529,7909.740520105284,2593.2972652877497,2713.9634171698,-4576.7908038323
76,7578.111048555946,7503.329132254081,-11268.544320533807,-11387.3391100986,4343.4670478502,7444.238917680008,7503.329132254081,-11243.1434150161,-11387.3391100986,4343.4670478502
77,-3286.9699520417307,-3293.2553734196645,-11353.092971963359,-11388.6354780025,7907.2906810107,-3308.5869828211244,-3293.2553734196645,-11396.778414933,-11388.6354780025,7907.2906810107
78,6775.893446149292,7027.2090294025,-11328.476356328025,-11258.6239329956,2833.5244563396,6663.899831740368,7027.2090294025,-11272.5277714099,-11258.6239329956,2833.5244563396
79,-3886.7089258698998,-3859.055416719616,-8905.680604446172,-8918.6758016651,9897.277760114,-3919.787583754849,-3859.055416719616,-8918.695444934,-8918.6758016651,9897.277760114
